"DSAI","19-Nov-2019","693.28","694.84","687.45","694.2","9999500"
"DSAL","19-Nov-2019","66.32","67.18","65.3","65.71","2341800"
"DSAM","19-Nov-2019","1962.12","1978.5","1953.03","1973.41","47442700"
"DSAP","19-Nov-2019","316.08","316.69","312.96","315.41","60757800"
"DSAR","19-Nov-2019","273.59","274.51","271.27","273.29","19843700"
"DSAS","19-Nov-2019","1853.01","1854.62","1822.01","1832.99","17998300"
"DSAT","19-Nov-2019","459.08","459.42","453.25","454.92","8434500"
"DSAU","19-Nov-2019","197.56","198.73","195.76","197.99","50796400"
"DSAV","19-Nov-2019","577.46","579.63","574.13","578.53","9836000"
"DSBC","19-Nov-2019","1591.73","1601.3","1584.63","1596.75","123997200"
"DSBD","19-Nov-2019","1043.55","1044.6","1038.13","1040.23","22717100"
"DSBE","19-Nov-2019","141.04","141.45","140.01","140.95","2060000"
"DSBK","19-Nov-2019","498.2","499.39","495.22","496.83","150631900"
"DSBM","19-Nov-2019","388.21","388.56","384.31","385.38","92032300"
"DSBS","19-Nov-2019","162.2","162.94","161.15","161.94","45700300"
"DSBT","19-Nov-2019","2060","2083.13","2060","2077.62","106157900"
"DSBV","19-Nov-2019","794.07","797","792.28","795.68","24736900"
"DSCA","19-Nov-2019","847.05","847.78","837.44","844.62","15373300"
"DSCC","19-Nov-2019","515.53","515.53","508.51","509.46","15596000"
"DSCF","19-Nov-2019","329.32","330.17","325.19","326.75","23793800"
"DSCG","19-Nov-2019","1259.16","1260.06","1252.19","1256.17","126797600"
"DSCH","19-Nov-2019","653.41","653.59","646.06","647.92","46331900"
"DSCL","19-Nov-2019","16.7","16.81","15.94","16.7","1275300"
"DSCM","19-Nov-2019","584.48","586.86","582.92","586.76","11664600"
"DSCN","19-Nov-2019","793.62","794.38","790.07","791.42","28293800"
"DSCP","19-Nov-2019","394.62","395.74","393.52","394.71","26653800"
"DSCR","19-Nov-2019","3531.7","3531.7","3498.38","3509.84","65975400"
"DSCS","19-Nov-2019","1727.37","1739.46","1726.15","1733.54","16065800"
"DSCT","19-Nov-2019","1247.87","1252.19","1239.59","1249.04","43649000"
"DSCX","19-Nov-2019","952.12","953.35","943.45","947.62","30735900"
"DSCY","19-Nov-2019","1123.26","1123.26","1114.53","1119.05","495889300"
"DSDB","19-Nov-2019","573.33","580.63","572","580.43","1142000"
"DSDN","19-Nov-2019","514.1","514.45","509.42","509.78","6224800"
"DSDR","19-Nov-2019","741.13","741.34","734.46","735.34","17991100"
"DSDS","19-Nov-2019","344.61","345.11","340.87","341.1","6519400"
"DSDT","19-Nov-2019","87.08","87.61","86.75","87.15","4967400"
"DSDV","19-Nov-2019","161","161.44","160.43","160.88","18902900"
"DSEC","19-Nov-2019","376.26","376.89","373.6","376.42","17951900"
"DSEE","19-Nov-2019","464.24","465.06","460.74","464.66","27951500"
"DSEH","19-Nov-2019","85.23","86.53","85","85.35","239100"
"DSEN","19-Nov-2019","473.28","473.28","465.6","466.09","335582900"
"DSES","19-Nov-2019","224.3","224.89","221.47","223.48","3206200"
"DSEU","19-Nov-2019","299.7","301.49","298.55","299.9","65288500"
"DSFA","19-Nov-2019","596.72","602.89","596.33","600.16","37676100"
"DSFB","19-Nov-2019","638.11","639.81","636.9","639.29","69048400"
"DSFC","19-Nov-2019","177.28","177.28","170.25","173","64530700"
"DSFD","19-Nov-2019","525.98","526.38","521.46","522.01","11003300"
"DSFE","19-Nov-2019","693.97","695.33","689.68","692.92","20143900"
"DSFH","19-Nov-2019","375.43","375.74","369.66","369.85","2236800"
"DSFI","19-Nov-2019","1157.44","1167.04","1157.22","1164.51","98580300"
"DSFN","19-Nov-2019","662.79","664.43","661.71","663.25","467795400"
"DSFO","19-Nov-2019","386.45","387.61","385.65","387.08","44311400"
"DSFP","19-Nov-2019","534.71","536.31","533.61","535.58","44311400"
"DSFR","19-Nov-2019","173.35","173.44","170.52","170.74","615500"
"DSFT","19-Nov-2019","1758.06","1765.25","1729.81","1738.15","7778700"
"DSFV","19-Nov-2019","723.86","726.37","722.33","725.06","0"
"DSGF","19-Nov-2019","1297.54","1308.32","1297.3","1305.47","98580300"
"DSGI","19-Nov-2019","455.51","456.85","452.4","456.21","82416000"
"DSGT","19-Nov-2019","1516.86","1517.3","1501.45","1506.79","210181700"
"DSGU","19-Nov-2019","303.37","306.16","302.16","303.1","10158100"
"DSHB","19-Nov-2019","960.35","963.07","951.28","953.62","7735700"
"DSHC","19-Nov-2019","1044.45","1050.73","1043.25","1048.92","299006200"
"DSHD","19-Nov-2019","246.79","246.87","243.41","245.14","4266600"
"DSHG","19-Nov-2019","769.43","772.27","765.58","766.28","24482000"
"DSHI","19-Nov-2019","468.06","471.57","458.59","459.33","23693800"
"DSHL","19-Nov-2019","108.26","108.47","107.56","107.63","19200800"
"DSHN","19-Nov-2019","956.55","963.03","951.88","954.09","10242800"
"DSHP","19-Nov-2019","2133.06","2137.43","2115.76","2133.26","34908600"
"DSHR","19-Nov-2019","2152.31","2155.38","2130.61","2136.87","12448300"
"DSHV","19-Nov-2019","468.37","470.81","466.55","468.08","5576600"
"DSIB","19-Nov-2019","395.94","399.25","395.59","398.01","3488600"
"DSID","19-Nov-2019","489.71","491.24","485.72","490.67","55762100"
"DSIF","19-Nov-2019","51.88","52.18","51.51","51.51","5825900"
"DSIG","19-Nov-2019","870.85","871.39","866.57","868.98","249348100"
"DSIL","19-Nov-2019","807.51","810.71","805.79","806.1","19822600"
"DSIM","19-Nov-2019","181.97","183.04","179.51","180.53","37616900"
"DSIN","19-Nov-2019","810.51","810.96","806.57","808.74","277642000"
"DSIO","19-Nov-2019","119.71","120.11","119.08","119.92","32709700"
"DSIP","19-Nov-2019","914.81","919.08","913.74","916.54","21112800"
"DSIQ","19-Nov-2019","2085.48","2088.81","2068.84","2076.83","32592300"
"DSIR","19-Nov-2019","678.5","679.88","677.51","677.78","54485900"
"DSIS","19-Nov-2019","642.9","647.25","641.96","644.89","61509900"
"DSIT","19-Nov-2019","1130.8","1133.26","1123.78","1125.75","20655000"
"DSIU","19-Nov-2019","282.52","282.53","281.14","281.42","4235800"
"DSIV","19-Nov-2019","736.54","739.11","733.37","737.1","10953900"
"DSIX","19-Nov-2019","645.68","646.86","644.66","645.07","34663200"
"DSLE","19-Nov-2019","601.4","603.09","597.3","600.73","26221500"
